# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Wed Dec 12 18:09:24 CET 2018
# isochrones PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic reference: Marigo et al. (2017), ApJ, 835, 77
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# Kind of output: isochrone tables
# Zini  Age      Mini            Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00970 1.00e+10 0.0900000036    0.090 -3.385  3.3797  5.248    1  0.000  0.545     0.00     0.00 -1 -4.11e-17      0.00 7.225e-01 2.677e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 13.232 22.187 19.358 17.287 15.447 13.229 11.151 10.615 10.316
0.00970 1.00e+10 0.1000000015    0.100 -3.189  3.4081  5.212    1  0.000  0.545     0.00     0.00 -1 -6.38e-17      0.00 7.220e-01 2.682e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 12.743 21.615 18.845 16.786 14.956 12.742 10.663 10.129 9.827
0.00970 1.00e+10 0.1200000048    0.120 -2.923  3.4420  5.160    1  0.000  0.545     0.00     0.00 -1 -1.14e-16      0.00 7.210e-01 2.692e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 12.076 19.974 17.456 15.468 13.827 11.826 10.070 9.527 9.249
0.00970 1.00e+10 0.1400000006    0.140 -2.741  3.4610  5.121    1  0.000  0.545     0.00     0.00 -1 -1.68e-16      0.00 7.202e-01 2.701e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 11.622 18.791 16.482 14.562 13.075 11.249 9.672 9.118 8.848
0.00970 1.00e+10 0.1445392966    0.145 -2.707  3.4643  5.114    1  0.000  0.545     0.00     0.00 -1  -1.8e-16      0.00 7.200e-01 2.703e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 11.537 18.558 16.304 14.401 12.944 11.150 9.597 9.041 8.771
0.00970 1.00e+10 0.1599999964    0.160 -2.598  3.4746  5.091    1  0.000  0.545     0.00     0.00 -1 -2.26e-16      0.00 7.194e-01 2.709e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 11.265 17.828 15.745 13.898 12.527 10.834 9.354 8.797 8.526
0.00970 1.00e+10 0.1828175932    0.183 -2.466  3.4858  5.061    1  0.000  0.545     0.00     0.00 -1 -2.97e-16      0.00 7.186e-01 2.716e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 10.934 17.041 15.123 13.337 12.046 10.462 9.054 8.496 8.225
0.00970 1.00e+10 0.2000000030    0.200 -2.377  3.4933  5.041    1  0.000  0.545     0.00     0.00 -1 -3.56e-16      0.00 7.181e-01 2.721e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 10.711 16.549 14.725 12.976 11.731 10.215 8.851 8.292 8.024
0.00970 1.00e+10 0.2375665158    0.238 -2.215  3.5045  4.999    1  0.000  0.545     0.00     0.00 -1 -4.97e-16      0.00 7.175e-01 2.728e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 10.308 15.765 14.071 12.379 11.196 9.779 8.476 7.917 7.653
0.00970 1.00e+10 0.2500000000    0.250 -2.167  3.5078  4.987    1  0.000  0.545     0.00     0.00 -1 -5.48e-16      0.00 7.173e-01 2.729e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 10.189 15.554 13.886 12.207 11.040 9.650 8.365 7.805 7.542
