# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Wed Dec 12 18:00:16 CET 2018
# isochrones PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic reference: Marigo et al. (2017), ApJ, 835, 77
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# Kind of output: isochrone tables
# Zini  Age      Mini            Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00970 1.00e+06 0.0900000036    0.090 -1.242  3.4590  3.422    0  0.000  0.545     0.00     0.00 -1 -4.72e-14      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 7.875 12.470 12.282 11.381 9.789 7.842 5.870 5.266 5.021
0.00970 1.00e+06 0.1000000015    0.100 -1.162  3.4648  3.411    0  0.000  0.545     0.00     0.00 -1 -5.45e-14      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 7.674 12.200 11.979 11.068 9.518 7.607 5.680 5.066 4.833
0.00970 1.00e+06 0.1200000048    0.120 -0.998  3.4764  3.372    0  0.000  0.545     0.00     0.00 -1 -7.59e-14      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 7.264 11.659 11.375 10.454 8.981 7.135 5.291 4.651 4.442
0.00970 1.00e+06 0.1263710707    0.126 -0.953  3.4798  3.363    0  0.000  0.545     0.00     0.00 -1 -8.29e-14      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 7.152 11.513 11.209 10.285 8.834 7.006 5.186 4.537 4.334
0.00970 1.00e+06 0.1400000006    0.140 -0.859  3.4866  3.341    0  0.000  0.545     0.00     0.00 -1    -1e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 6.917 11.211 10.867 9.939 8.530 6.740 4.967 4.298 4.108
0.00970 1.00e+06 0.1523713171    0.152 -0.786  3.4924  3.329    0  0.000  0.545     0.00     0.00 -1 -1.15e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 6.736 10.983 10.601 9.664 8.291 6.535 4.801 4.114 3.931
0.00970 1.00e+06 0.1607976705    0.161 -0.742  3.4959  3.322    0  0.000  0.545     0.00     0.00 -1 -1.25e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 6.625 10.843 10.437 9.495 8.144 6.409 4.699 4.001 3.823
0.00970 1.00e+06 0.1654071957    0.165 -0.736  3.4970  3.332    0  0.000  0.545     0.00     0.00 -1 -1.24e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.728e-03 6.610 10.817 10.401 9.453 8.112 6.386 4.688 3.988 3.811
0.00970 1.00e+06 0.1693210006    0.169 -0.724  3.4983  3.336    0  0.000  0.545     0.00     0.00 -1 -1.25e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.728e-03 6.579 10.774 10.349 9.396 8.065 6.349 4.661 3.958 3.782
0.00970 1.00e+06 0.1742882878    0.174 -0.701  3.5004  3.334    0  0.000  0.545     0.00     0.00 -1  -1.3e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.730e-03 6.523 10.702 10.261 9.305 7.986 6.284 4.611 3.902 3.728
0.00970 1.00e+06 0.1823046505    0.182 -0.656  3.5041  3.324    0  0.000  0.545     0.00     0.00 -1 -1.43e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.729e-03 6.411 10.565 10.098 9.133 7.836 6.159 4.510 3.789 3.618
0.00970 1.00e+06 0.1933874339    0.193 -0.594  3.5090  3.306    0  0.000  0.545     0.00     0.00 -1 -1.64e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 6.254 10.378 9.874 8.898 7.630 5.986 4.369 3.629 3.464
0.00970 1.00e+06 0.2015884221    0.202 -0.559  3.5119  3.301    0  0.000  0.545     0.00     0.00 -1 -1.75e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 6.167 10.272 9.745 8.760 7.511 5.889 4.292 3.542 3.379
0.00970 1.00e+06 0.2097871602    0.210 -0.568  3.5127  3.330    0  0.000  0.545     0.00     0.00 -1 -1.62e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 6.189 10.281 9.744 8.752 7.512 5.901 4.317 3.571 3.406
0.00970 1.00e+06 0.2178267390    0.218 -0.566  3.5142  3.351    0  0.000  0.545     0.00     0.00 -1 -1.56e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 6.184 10.260 9.709 8.708 7.481 5.885 4.317 3.570 3.406
0.00970 1.00e+06 0.2256684005    0.226 -0.551  3.5165  3.361    0  0.000  0.545     0.00     0.00 -1 -1.57e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.727e-03 6.148 10.207 9.636 8.624 7.412 5.839 4.290 3.539 3.374
0.00970 1.00e+06 0.2332906723    0.233 -0.524  3.5194  3.359    0  0.000  0.545     0.00     0.00 -1 -1.65e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.728e-03 6.079 10.119 9.523 8.499 7.305 5.759 4.231 3.471 3.309
0.00970 1.00e+06 0.2394123673    0.239 -0.493  3.5221  3.351    0  0.000  0.545     0.00     0.00 -1 -1.76e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.730e-03 6.004 10.028 9.409 8.375 7.198 5.674 4.165 3.397 3.236
0.00970 1.00e+06 0.2463228554    0.246 -0.452  3.5256  3.336    0  0.000  0.545     0.00     0.00 -1 -1.94e-13      0.00 7.238e-01 2.665e-01 1.749e-03 4.719e-04 4.280e-03 -1.000 9.732e-03 5.900 9.907 9.258 8.212 7.055 5.560 4.074 3.293 3.135
